"Timestamp","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [The World's End (1979)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [Mad Max (1979)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [The Road (2009)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [A Boy and His Dog (1975)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [The Happening (2008)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [War of the Worlds (2005)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [Annihilation (2018)]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [2012]","What movies would you like to see for the theme ""Y2K21 IT CAN'T GET ANY WORSE THAN 2020 - End of the world movies""? [World War Z (2013)]","What movies would you like to see for the theme ""Submarino Kino""? [Das Boot (1981)]","What movies would you like to see for the theme ""Submarino Kino""? [Down Periscope (1996)]","What movies would you like to see for the theme ""Submarino Kino""? [The Meg (2018)]","What movies would you like to see for the theme ""Submarino Kino""? [The Hunt for Red October (1991)]","What movies would you like to see for the theme ""Submarino Kino""? [Crimson Tide (1995)]","What movies would you like to see for the theme ""Submarino Kino""? [The Beatles: Yellow Submarine (1968)]","What movies would you like to see for the theme ""Submarino Kino""? [The Enemy Below (1957)]","What movies would you like to see for the theme ""Submarino Kino""? [Atragon (1963)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [The Graduate (1967)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [Orgazmo (1997)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [Eurotrip (2004)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [Porky's (1981)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [H.O.T.S (1979)]","What movies would you like to see for the theme ""Funny Smutty Movies""? [Piranha 3DD (2012)]","What is your name in M4C?"
"2021/01/05 11:50:55 pm GMT","","","1st Choice","","5th Choice","","3rd Choice","4th Choice","2nd Choice","2nd Choice","","1st Choice","","","","3rd Choice","","","","1st Choice","","","2nd Choice",""
"2021/01/05 11:52:33 pm GMT","","","3rd Choice","2nd Choice","","","","1st Choice","","1st Choice","","","","","","3rd Choice","2nd Choice","1st Choice","2nd Choice","","3rd Choice","","",""
"2021/01/06 12:00:17 am GMT","","3rd Choice","","1st Choice","","4th Choice","5th Choice","","2nd Choice","4th Choice","3rd Choice","5th Choice","1st Choice","2nd Choice","","","","","3rd Choice","2nd Choice","1st Choice","5th Choice","4th Choice",""
"2021/01/06 12:23:44 am GMT","4th Choice","2nd Choice","","5th Choice","1st Choice","3rd Choice","","","","1st Choice","5th Choice","","2nd Choice","4th Choice","3rd Choice","","","5th Choice","1st Choice","2nd Choice","3rd Choice","","4th Choice",""
"2021/01/06 1:03:38 am GMT","","2nd Choice","","4th Choice","5th Choice","1st Choice","","","3rd Choice","5th Choice","","","4th Choice","","3rd Choice","2nd Choice","1st Choice","4th Choice","2nd Choice","3rd Choice","1st Choice","","5th Choice",""
"2021/01/06 1:47:39 am GMT","","","1st Choice","","4th Choice","2nd Choice","5th Choice","3rd Choice","","2nd Choice","3rd Choice","4th Choice","1st Choice","","","5th Choice","","","2nd Choice","1st Choice","4th Choice","3rd Choice","5th Choice",""
"2021/01/06 8:27:31 am GMT","","","4th Choice","","3rd Choice","1st Choice","2nd Choice","","5th Choice","","","","1st Choice","3rd Choice","","","2nd Choice","","3rd Choice","1st Choice","4th Choice","5th Choice","2nd Choice",""
"2021/01/07 8:21:53 pm GMT","","2nd Choice","","1st Choice","","5th Choice","","3rd Choice","4th Choice","4th Choice","1st Choice","5th Choice","2nd Choice","3rd Choice","","","","3rd Choice","2nd Choice","","4th Choice","1st Choice","5th Choice",""
"2021/01/07 10:29:25 pm GMT","","1st Choice","3rd Choice","2nd Choice","5th Choice","4th Choice","","","","2nd Choice","","","4th Choice","1st Choice","3rd Choice","5th Choice","","5th Choice","1st Choice","2nd Choice","3rd Choice","4th Choice","",""
"2021/01/12 3:48:45 pm GMT","","2nd Choice","","5th Choice","1st Choice","","","4th Choice","3rd Choice","","4th Choice","3rd Choice","1st Choice","2nd Choice","","5th Choice","","","4th Choice","1st Choice","5th Choice","3rd Choice","2nd Choice",""
"2021/01/12 3:59:35 pm GMT","4th Choice","","3rd Choice","1st Choice","","5th Choice","2nd Choice","","","","","","1st Choice","","2nd Choice","","","","","","","","",""
"2021/01/12 6:01:08 pm GMT","5th Choice","","1st Choice","4th Choice","","2nd Choice","3rd Choice","","","3rd Choice","","","1st Choice","2nd Choice","","5th Choice","4th Choice","3rd Choice","4th Choice","","2nd Choice","5th Choice","1st Choice",""
