"Timestamp","What is your name in M4C?","What movies would you like to see for the theme ""Consoomerism""?","What movies would you like to see for the theme ""Documentaries and Mockumentaries""?","What movies would you like to see for the theme ""Kaiju Kino""?","What movies would you like to see for the theme ""Nicholas Cage""?"
"2021/02/16 8:48:41 pm GMT","","Wall-E","Spinal Tap","","The one with the bees"
"2021/02/16 8:48:46 pm GMT","","--","---","--","8mm (1999)"
"2021/02/16 9:05:00 pm GMT","","The stuff","noroi the curse, lake mungo ","","Willys wonderland "
"2021/02/16 9:05:21 pm GMT","","The Florida Project (2017) and The Office (American TV series) (2005)","Best in Show (2000) and The Office (American TV series) (2005)","Shin Godzilla (2016) and The Office (American TV series) (2005)","Bad Lieutenant: Port of Call New Orleans (2009) and The Office (American TV series) (2005)"
"2021/02/16 11:21:58 pm GMT","","they live","leviathan (2012), my best friend (herzog)"," Pulgasari (1985) (north korean)","the wicker man"
"2021/02/18 9:12:02 pm GMT","","Thank you for smoking, ","This is Spinal Tap","Shin Godzilla","Face/Off, Ghost Rider"
"2021/02/19 1:02:54 am GMT","","","","","knowing"
"2021/02/19 1:08:27 am GMT","","","","Trollhunter (low kaiju screentime but very very kino)
Mothra",""
"2021/02/19 2:11:01 am GMT","","Superman: Man of Steel","Safety Not Guaranteed","Godzilla 2000","vampire kiss"
"2021/02/19 2:25:46 am GMT","","Thank you for Smoking","the Poughkeepsie Tapes, ","Godzilla (2014), Godzilla King of Monsters(2018) ","Mandy, Face/Off"
"2021/02/22 9:17:57 pm GMT","","Toys","Reno 911! Miami","Daimajin (1966)","Con Air"
"2021/02/23 3:30:53 am GMT","","","","",""
