"Timestamp","What is your name in M4C?","What TV shows would you be interested in seeing on TV night?","Would you be interested in an anime being one of the shows played on TV night?","What themes would you like to see for the month of April? [Trains]","What themes would you like to see for the month of April? [Monkey Madness]","What themes would you like to see for the month of April? [Mythology]","What themes would you like to see for the month of April? [Food]","What themes would you like to see for the month of April? [Natural disasters]","What themes would you like to see for the month of April? [Blaxploitation]","What themes would you like to see for the month of April? [Sword and Sorcery]","What themes would you like to see for the month of April? [Tokusatsu/Super Sentai]","What themes would you like to see for the month of April? [James Gandolfini]","What themes would you like to see for the month of April? [Worst movies of the past 2 years]","What themes would you like to see for the month of April? [420]","What themes would you like to see for the month of April? [Board games]"
"2021/03/10 8:33:29 pm GMT","","shin chan","Yes","","","1st Choice","3rd Choice","","","2nd Choice","","","","",""
"2021/03/10 8:33:49 pm GMT","","Fargo","No","4th Choice","2nd Choice","","","","3rd Choice","","","1st Choice","5th Choice","",""
"2021/03/10 8:43:21 pm GMT","","Killing Eve","No","","","2nd Choice","","3rd Choice","4th Choice","1st Choice","","","","",""
"2021/03/11 12:29:06 am GMT","","House M.D.","I don't care","","","1st Choice","5th Choice","3rd Choice","4th Choice","","","2nd Choice","","",""
"2021/03/11 12:53:50 am GMT","","","Yes","","1st Choice","","5th Choice","","2nd Choice","","","","3rd Choice","4th Choice",""
"2021/03/11 2:32:22 am GMT","","","No","","","","2nd Choice","","","","1st Choice","","","",""
"2021/03/11 10:08:05 pm GMT","","","I don't care","","2nd Choice","4th Choice","","","3rd Choice","1st Choice","5th Choice","","","",""
"2021/03/11 10:37:16 pm GMT","","","I don't care","","","3rd Choice","","","4th Choice","2nd Choice","5th Choice","","","1st Choice",""
"2021/03/14 3:20:51 am GMT","","","Yes","","","1st Choice","","","","3rd Choice","2nd Choice","","5th Choice","","4th Choice"
"2021/03/14 9:26:49 pm GMT","","Watch Symphogear","Yes","1st Choice","5th Choice","","","","3rd Choice","","","","4th Choice","","2nd Choice"
"2021/03/15 9:52:00 pm GMT","","It's Always Sunny in Philadelphia, Trailer Park Boys","No","","","","","2nd Choice","5th Choice","3rd Choice","","","4th Choice","1st Choice",""
"2021/03/16 1:36:24 am GMT","","","I don't care","","4th Choice","1st Choice","5th Choice","","","3rd Choice","","2nd Choice","","",""
