"Timestamp","What is your name in M4C?","What themes would you like to see for the month of June?","Would you like to have full control of the M4C schedule for one of the nights this month?  What would you do?"
"2021/05/06 10:08:52 pm CET","","Boxing/MMA, Kung fu, Gosling night","I'd start the night at 6pm CST and I'd loop the schedule once so that a larger percentage of people will be able to attend that want to. Current schedule starts well within wagie hours for pretty much the entirety of North America. It's movie4chan not wagie4chan."
"2021/05/06 10:56:37 pm CET","","Bugs Alive!, Australiana, Time Travel","Sure, I'd probably curate a list of the best Australian movies they most of m4c probably haven't seen before."
"2021/05/06 11:40:35 pm CET","","","do movie night on a saturday!!!! woooo!!"
"2021/05/06 11:46:17 pm CET","","Jackass Movies","I would play George of the Jungle and nothing else."
"2021/05/07 1:28:15 am CET","","b-movies","no"
"2021/05/07 2:11:17 am CET","","70s Kino Night, Western Animation Night, Asylum Night (Transmorphers, Sharknado, etc), XTREEM Sports Movie Night","I would like to run a 'Black Tanktop' night where we watch movies by famous film flop directors Tommy Wiseau (The Room), Neil Breen (Twisted Pair) and Deuandra T. Brown (Diamond Cobra vs the White Fox), not necessarily in that order. Interspersed would be interviews and other silly videos of the directors (mostly tommy wiseau and neil breen) that take a peek behind the insanity curtain.

The term 'Black Tanktop' is pulled from Redlettermedia where they point out that all of these narcissistic movie directors that star in their own films all at some point wear black tanktops/wifebeaters in the movie for whatever reason."
"2021/05/07 8:19:48 pm CET","","ProWrestler Entrance and Anime","Fate is unavoidable. Carmina Burana and Final Flesh. https://www.youtube.com/watch?v=Gj-tBVq61as      https://www.youtube.com/watch?v=MlcrsAZUC-E"
"2021/05/07 10:23:50 pm CET","","wagie movies (like office space or waiting) ","no thank you"
"2021/05/08 3:09:04 am CET","","caveman movies, hard scifi, anti-woke, early fantasy, Jackie Chan, Good B Movies, Financial.","The Ice Pirates, 7 Faces of Dr Lao, Airplane. -Only if I cant do the entire 9 hour run of shogun. "
"2021/05/08 11:33:28 am CET","","Eye Candy Night",""
"2021/05/08 2:54:24 pm CET","","hyperviolent movie night, 80's miami night, north korean movie night","Classic extreme sports docs night. Potentially: On any sunday 1(1971) or 2 (1981), The endless summer I (1966)  The Endless summer II(1994), A Sunday in Hell (1976),  Any Snow Any Mountain (1971), Everest The hard way 1975, and potentially others. I am shooting for a good variety of sports with potentially 2 short films with 2 long films."
