"Timestamp","What is your name in M4C?","What themes would you like to see for the month of August? [80s Classics]","What themes would you like to see for the month of August? [Mad Science: The Venture Bros]","What themes would you like to see for the month of August? [Parodies]","What themes would you like to see for the month of August? [Shakespeare]","What themes would you like to see for the month of August? [Troma Entertainment]","What themes would you like to see for the month of August? [Baby Kino]","What themes would you like to see for the month of August? [Garage Science]","What themes would you like to see for the month of August? [Kubrick]","What themes would you like to see for the month of August? [Giant Bugs]","What themes would you like to see for the month of August? [The British Isles]","What themes would you like to see for the month of August? [The SuperBoll (Uwe Boll)]","What themes would you like to see for the month of August? [Asian Foklore]","What themes would you like to see for the month of August? [Body Horror]","What movies would you like to see on popular night? [Goodfellas (1990)]","What movies would you like to see on popular night? [Neil Breen's Twisted Pair (2018)]","What movies would you like to see on popular night? [The African Queen (1951)]","What movies would you like to see on popular night? [My Spy (2020)]","What movies would you like to see on popular night? [Mulholland Drive (2001)]","What movies would you like to see on popular night? [Ghostbusters (1984)]","What movies would you like to see on popular night? [Twisted: The Untold Story of a Royal Vizier]","What movies would you like to see on popular night? [The Hustler (1961)]","What movies would you like to see on popular night? [Luca (2021)]","What movies would you like to see on popular night? [Twin Town (1997)]"
"2021/07/23 10:08:46 pm CET","","","3rd Choice","","5th Choice","","","","1st Choice","2nd Choice","","4th Choice","","","2nd Choice","4th Choice","","","1st Choice","3rd Choice","","","5th Choice",""
"2021/07/23 10:10:11 pm CET","","5th Choice","","1st Choice","","2nd Choice","","4th Choice","","","","3rd Choice","","","5th Choice","2nd Choice","","","4th Choice","3rd Choice","","","1st Choice",""
"2021/07/23 10:10:32 pm CET","","2nd Choice","","","","","","","4th Choice","3rd Choice","","1st Choice","5th Choice","","2nd Choice","1st Choice","","","5th Choice","3rd Choice","","","4th Choice",""
"2021/07/23 10:11:17 pm CET","","2nd Choice","5th Choice","1st Choice","3rd Choice","","","","","","","","","4th Choice","5th Choice","","","","4th Choice","1st Choice","2nd Choice","","3rd Choice",""
"2021/07/23 10:16:07 pm CET","","2nd Choice","","3rd Choice","","4th Choice","","5th Choice","","1st Choice","","","","","2nd Choice","1st Choice","","","5th Choice","3rd Choice","","","","4th Choice"
"2021/07/23 10:24:00 pm CET","","3rd Choice","","2nd Choice","","","","","4th Choice","","1st Choice","","5th Choice","","5th Choice","","","2nd Choice","","1st Choice","","","4th Choice","3rd Choice"
"2021/07/23 10:28:57 pm CET","","","","","","3rd Choice","5th Choice","","2nd Choice","1st Choice","","","","4th Choice","2nd Choice","5th Choice","","","3rd Choice","4th Choice","","1st Choice","",""
"2021/07/23 10:37:10 pm CET","","","","","4th Choice","","","","2nd Choice","5th Choice","3rd Choice","","1st Choice","","","","4th Choice","","","","","1st Choice","2nd Choice","3rd Choice"
"2021/07/23 10:43:23 pm CET","","3rd Choice","5th Choice","","","","","4th Choice","2nd Choice","","","","","1st Choice","2nd Choice","4th Choice","1st Choice","","5th Choice","","","3rd Choice","",""
"2021/07/23 10:58:58 pm CET","","","","","","3rd Choice","2nd Choice","","1st Choice","4th Choice","","","","5th Choice","3rd Choice","1st Choice","","","2nd Choice","5th Choice","","4th Choice","",""
"2021/07/23 11:07:04 pm CET","","4th Choice","","","","2nd Choice","5th Choice","1st Choice","","3rd Choice","","","","","4th Choice","2nd Choice","5th Choice","","","1st Choice","","3rd Choice","",""
"2021/07/24 1:05:17 am CET","","2nd Choice","","4th Choice","","","","","3rd Choice","1st Choice","","","","5th Choice","2nd Choice","","","5th Choice","3rd Choice","4th Choice","","","1st Choice",""
"2021/07/24 1:51:24 am CET","","","","4th Choice","","2nd Choice","","","","5th Choice","","1st Choice","","3rd Choice","3rd Choice","1st Choice","","2nd Choice","","5th Choice","","","","4th Choice"
"2021/07/24 6:27:33 am CET","","","","","","","1st Choice","","","3rd Choice","","","","2nd Choice","3rd Choice","2nd Choice","","","1st Choice","","","","",""
