"Timestamp","What is your name in M4C?","Which movies would you like to see for the theme ""Giant Bugs""? [Honey I Shrunk the Kids (1989)]","Which movies would you like to see for the theme ""Giant Bugs""? [Arachnophobia (1990)]","Which movies would you like to see for the theme ""Giant Bugs""? [Starship Troopers]","Which movies would you like to see for the theme ""Giant Bugs""? [Mothra (1961)]","Which movies would you like to see for the theme ""Giant Bugs""? [Empire of the Ants (1977)]","Which movies would you like to see for the theme ""Giant Bugs""? [Them! (1954)]","Which movies would you like to see for the theme ""Giant Bugs""? [Mosquito (1994)]","Which movies would you like to see for the theme ""Giant Bugs""? [Ender's Game (2013)]","Which movies would you like to see for the theme ""Giant Bugs""? [Eight Legged Freaks (2002)]","Which movies would you like to see for the theme ""Giant Bugs""? [Tremors (1990)]","Which movies would you like to see for the theme ""Giant Bugs""? [The Host (2006)]","Which movies would you like to see for the theme ""Parodies""? [Galaxy Quest (1999)]","Which movies would you like to see for the theme ""Parodies""? [Epic Movie (2007)]","Which movies would you like to see for the theme ""Parodies""? [Black Dynamite (2009)]","Which movies would you like to see for the theme ""Parodies""? [What We Do in the Shadows (2019)]","Which movies would you like to see for the theme ""Parodies""? [Scary Movie (2000)]","Which movies would you like to see for the theme ""Parodies""? [Top Secret! (1984)]","Which movies would you like to see for the theme ""Parodies""? [Hot Shots (1991)]","Which movies would you like to see for the theme ""Parodies""? [Shaun of the Dead (2004)]","Which movies would you like to see for the theme ""Parodies""? [Spaceballs (1987)]","Which movies would you like to see for the theme ""Parodies""? [Holy Grail (1975)]","Which movies would you like to see for the theme ""Kumbricks""? [Paths of Glory (1957)]","Which movies would you like to see for the theme ""Kumbricks""? [Eyes Wide Shut (1999)]","Which movies would you like to see for the theme ""Kumbricks""? [The Shining (1980)]","Which movies would you like to see for the theme ""Kumbricks""? [2001 A Space Odyssey (1968)]","Which movies would you like to see for the theme ""Kumbricks""? [Spartacus (1960)]","Which movies would you like to see for the theme ""Kumbricks""? [Dr. Strangelove (1964)]","Which movies would you like to see for the theme ""Body Horror""? [The Thing (1982)]","Which movies would you like to see for the theme ""Body Horror""? [Frankenhooker (1990)]","Which movies would you like to see for the theme ""Body Horror""? [Re-Animator (1985)]","Which movies would you like to see for the theme ""Body Horror""? [Videodrome (1983)]","Which movies would you like to see for the theme ""Body Horror""? [Scanners (1981)]","Which movies would you like to see for the theme ""Body Horror""? [Rabid (1977)]","Which movies would you like to see for the theme ""Body Horror""? [Eraserhead (1977)]","Which movies would you like to see for the theme ""Body Horror""? [The Fly (1986)]","Which movies would you like to see for the theme ""Body Horror""? [Tetsuo: The Iron Man (1989)]","Which movies would you like to see for the theme ""Body Horror""? [Naked Lunch (1991)]"
"2021/08/04 8:23:03 pm CET","","5th Choice","","1st Choice","","","","","4th Choice","3rd Choice","2nd Choice","","5th Choice","","4th Choice","2nd Choice","","3rd Choice","","1st Choice","","","","2nd Choice","3rd Choice","4th Choice","5th Choice","1st Choice","1st Choice","","2nd Choice","3rd Choice","","","4th Choice","5th Choice","",""
"2021/08/04 8:30:10 pm CET","","4th Choice","3rd Choice","","","","","","","","2nd Choice","1st Choice","","","","","","","","1st Choice","","2nd Choice","","","1st Choice","","2nd Choice","","","","","","","","2nd Choice","1st Choice","",""
"2021/08/04 8:33:40 pm CET","","","5th Choice","1st Choice","","3rd Choice","","","2nd Choice","","4th Choice","","2nd Choice","","","4th Choice","","","5th Choice","1st Choice","3rd Choice","","4th Choice","5th Choice","","3rd Choice","2nd Choice","1st Choice","","","2nd Choice","4th Choice","5th Choice","","1st Choice","","3rd Choice",""
"2021/08/04 8:37:32 pm CET","","3rd Choice","2nd Choice","1st Choice","","","5th Choice","","","4th Choice","","","","","1st Choice","2nd Choice","","","","3rd Choice","4th Choice","5th Choice","5th Choice","4th Choice","2nd Choice","3rd Choice","","1st Choice","","1st Choice","3rd Choice","4th Choice","","","5th Choice","","2nd Choice",""
"2021/08/04 8:46:38 pm CET","","3rd Choice","5th Choice","","","","1st Choice","","","4th Choice","2nd Choice","","","","","1st Choice","2nd Choice","3rd Choice","","","","4th Choice","","","1st Choice","2nd Choice","4th Choice","3rd Choice","","","","","","","","","",""
"2021/08/04 8:46:39 pm CET","","","","","","","","","","","","","","","","2nd Choice","3rd Choice","","","1st Choice","5th Choice","4th Choice","","","2nd Choice","1st Choice","3rd Choice","","1st Choice","","","","","","","","",""
"2021/08/04 8:46:40 pm CET","","5th Choice","","","3rd Choice","","1st Choice","2nd Choice","","","4th Choice","","3rd Choice","","","1st Choice","","","","2nd Choice","5th Choice","4th Choice","1st Choice","","","","2nd Choice","3rd Choice","","5th Choice","","2nd Choice","3rd Choice","","","","4th Choice","1st Choice"
"2021/08/04 8:55:34 pm CET","","2nd Choice","","1st Choice","4th Choice","","3rd Choice","5th Choice","","","","","","","3rd Choice","","4th Choice","","5th Choice","1st Choice","","2nd Choice","","4th Choice","1st Choice","3rd Choice","2nd Choice","5th Choice","2nd Choice","3rd Choice","","1st Choice","","","","5th Choice","","4th Choice"
"2021/08/04 9:02:49 pm CET","","4th Choice","","2nd Choice","","3rd Choice","","","","5th Choice","1st Choice","","","","5th Choice","","","","","1st Choice","3rd Choice","2nd Choice","5th Choice","3rd Choice","2nd Choice","4th Choice","","1st Choice","1st Choice","5th Choice","","3rd Choice","","","4th Choice","2nd Choice","",""
"2021/08/04 9:12:36 pm CET","","","","1st Choice","2nd Choice","4th Choice","3rd Choice","","","","5th Choice","","1st Choice","","3rd Choice","","","2nd Choice","","","5th Choice","4th Choice","","5th Choice","4th Choice","2nd Choice","3rd Choice","1st Choice","3rd Choice","","","2nd Choice","4th Choice","","1st Choice","","","5th Choice"
